ảnh                            OKS model vs nhãn của bạn
train_02                                           0.347
train_06                                           0.576
train_13                                           0.589
train_15                                           0.597
train_13                                           0.627
train_14                                           0.671
train_03                                           0.692
train_14                                           0.736
train_19                                           0.741
train_11                                           0.743
train_10                                           0.749
train_09                                           0.765
train_12                                           0.767
train_16                                           0.784
train_01                                           0.812
train_16                                           0.846
train_15                                           0.852
train_04                                           0.853
train_13                                           0.858
train_01                                            0.88
train_18                                           0.881
train_04                                           0.903
train_19                                           0.909
train_20                                            0.91
train_05                                           0.925
train_08                                           0.925
train_07                                           0.927
train_03                                           0.947
train_17                                           0.982
train_10 (số người lệch)                 model 2 / bạn 1
train_03 (số người lệch)                 model 4 / bạn 2

OKS thấp = model và bạn bất đồng. Xem lại ảnh đó bằng tools/visualize_pose.py.
